speaker	vowel/frame	context	F1	F2	F3	gl F1	gl F2	gl F3
JOHG09	BEET	(thousand) seagulls (eating)	445	2713	3259	445	2713	3259
JOHG09	BEET	(seagulls) eating (dead fish)	449	2663	3160	447	2838	3167
JOHG09	BEET	"(Friday, all) he’d (seen were)"	435	2810	3322	435	2810	3322
JOHG09	BEET	([pause]) He’d (be a fool if)	474	2800	3302	474	2800	3302
JOHG09	BEET	(At) least (August was)	459	2602	3242	484	2579	3288
JOHG09	BEET	(August was) peaceful ([pause])	435	2542	3321	448	2519	3236
JOHG09	BEET	(caught--[pause]) Even (a goat)	455	2790	3378	475	2859	3414
JOHG09	BEET	"(10-lb. bags) cheap, (the manager)"	425	2973	3319	445	2682	3075
JOHG09	BEET	(I only) need (five right now)	469	2936	3250	464	2868	3197
JOHG09	BEET	(that Joan would) be (hostile if he)	429	2823	3186	455	2771	3197
JOHG09	BIT	(washing the) dishes (from last)	578	2103	3266			
JOHG09	BIT	(could and) hit (the culvert)	588	2165	3462			
JOHG09	BIT	"(telephone poles) zip (by, he passed)"	681	1984	3409			
JOHG09	BIT	(eating dead) fish ([pause] On)	682	2196	3247			
JOHG09	BIT	(if he) didn’t (have the sense)	613	2230	3231			
JOHG09	BIT	"(bothered) it, (too [pause])"	570	2269	3337			
JOHG09	BIT	(a tight) fit (in his small)	705	2100	3309			
JOHG09	BIT	(saw a guy) fixing (the roof of)	546	2180	3081			
JOHG09	BIT	(stove [pause]) Picturing (the fire)	640	2197	2851			
JOHG09	BIT	(no cure for) this ([pause])	731	2016	3270			
JOHG09	BAIT	(which) made (his ears)	578	2890	3247	575	2882	3346
JOHG09	BAIT	(I can’t) stay (cooped up)	638	2299	3367	605	2538	3409
JOHG09	BAIT	(a nice) day (he thought)	733	2197	3341	670	2501	3428
JOHG09	BAIT	(bad it) made (him cough)	556	2642	3287	562	2708	3182
JOHG09	BAIT	(plants [pause]) They (made his)	578	2629	3396	574	2627	3434
JOHG09	BAIT	(at a Gulf) station (and bought)	531	2545	3365	474	2651	3317
JOHG09	BET	(eating) dead (fish)	778	2167	3266			
JOHG09	BET	"(Dam [pause]) Next, (he rode through)"	647	2380	3294			
JOHG09	BET	(He) headed (back to town)	804	2152	3308			
JOHG09	BET	(Tuesday [pause]) Checking (his pocket)	715	2218	3179			
JOHG09	BET	(having a) special (on light bulbs)	721	1580	3030			
JOHG09	BET	"(and then,) second, (two cots on sale)"	811	2101	3276			
JOHG09	BET	(I) guess (there’s no cure)	698	2132	3125			
JOHG09	BAT	(too cold) Saturday (to soak)	856	1995	3323			
JOHG09	BAT	(He still) hadn’t (started washing)	965	1833	3170			
JOHG09	BAT	(took off as) fast (as he could)	852	1482	3166			
JOHG09	BAT	(he) passed (both a school)	844	1923	3140			
JOHG09	BAT	(hospital [pause]) After (five minutes)	842	1862	2985			
JOHG09	BAT	(air was so) bad (it made him)	937	1924	2981			
JOHG09	BAT	(can looked) happy ([pause] He)	905	1954	3004			
JOHG09	BAT	(He headed) back (to town)	902	1812	3113			
JOHG09	BAT	(bought some) gas (because Joan)	870	1879	2782			
JOHG09	BAT	(a bushel) basket ([pause] He rushed)	904	1749	2867			
JOHG09	BAT	"(wash) that (big, dark cooking)"	901	1799	3202			
JOHG09	BAN	"(shoot arrows,) Sam (decided to)"	615	2581	3487	600	2570	3140
JOHG09	BAN	(dashed to the) family (car before)	584	2505	3231	594	2248	3288
JOHG09	BAN	(I) can’t (stay cooped up)	602	2634	3429	625	2470	3339
JOHG09	BAN	"(Hoover) Dam, (where he saw)"	566	2599	3375	603	2199	3093
JOHG09	BAN	(avoid those) plants. ([pause] they)	578	2422	3395	573	2153	3372
JOHG09	BAN	(on a tin) can (looked happy)	613	2560	3324	640	2296	3334
JOHG09	BAN	(asked the) manager. ([pause] No)	514	2488	3651	514	2488	3651
JOHG09	BAN	(manager) answered. ([pause] I)	513	2372	3218	550	2221	3856
